ID,collection_date,longitude,latitude,days_collection
2,2024-01-22,4006393.46577551,2954508.89966757,0
1,2024-01-27,4008410.89878671,2955560.8661246,5
4,2024-02-18,4004979.43277889,2957093.80129016,27
3,2024-02-19,4005297.11129987,2955431.86571236,28
5,2024-02-19,4005029.97774359,2955183.87322808,28
6,2024-02-21,4003656.15628388,2952440.06144217,30
7,2024-02-21,4004973.34769511,2952968.52369996,30
9,2024-03-15,4003544.21525933,2953022.8161915,53
8,2024-03-17,4009583.26863354,2957322.89636613,55
12,2024-04-03,4005638.95210115,2957446.8037265,72
15,2024-04-03,4013697.52174767,2956779.5699015,72
13,2024-04-06,4000106.93196522,2955999.47473408,75
19,2024-04-29,4013916.6628434,2961392.24000444,98
22,2024-05-02,4006341.49048865,2960112.38675613,101
25,2024-05-08,4010954.82526247,2958341.35914005,107
26,2024-05-15,4014554.9728069,2959974.75383435,114
29,2024-05-21,4001583.09955439,2953597.7777627,120
32,2024-05-23,4010419.5538991,2966752.6768507,122
28,2024-05-24,3994749.70066712,2954624.93154512,123
45,2024-06-12,3997718.94386812,2957938.78325373,142
50,2024-06-13,4027706.7034585,2962241.38553734,143
46,2024-06-15,4003057.33861946,2949316.16717866,145
49,2024-06-18,4016248.04487804,2960519.00551818,148
64,2024-06-19,4003702.58683237,2947332.28419808,149
51,2024-06-20,4016714.18029615,2958496.65762438,150
58,2024-06-20,3995285.14371948,2955495.95851862,150
61,2024-06-25,4023168.5997295,2962560.89507671,155
88,2024-06-28,4001877.82240411,2957859.59300317,158
57,2024-06-29,3999311.15787554,2957873.50392813,159
69,2024-07-01,4003195.99220402,2960656.29958777,161
71,2024-07-03,3990416.77776053,2957309.83963322,163
93,2024-07-06,3997464.18194088,2951797.11828875,166
108,2024-07-06,4025667.74367483,2962870.7723738,166
96,2024-07-10,4009727.85918882,2951089.4381431,170
117,2024-07-10,4000791.02868184,2963117.87518104,170
82,2024-07-12,4032701.80247653,2960865.67880838,172
129,2024-07-12,3998555.29103242,2954152.40497858,172
100,2024-07-20,4009440.7316356,2965626.17865209,180
102,2024-07-21,3995321.56450531,2944067.93684093,181
131,2024-07-23,4007329.8749015,2968019.36864065,183
107,2024-07-25,3989018.4174651,2957212.60746241,185
128,2024-07-25,4007357.96701128,2963880.1110403,185
124,2024-07-28,4029121.91943815,2960958.69076258,188
142,2024-07-31,4010910.1596746,2953080.86616717,191
158,2024-08-03,3995065.65917353,2943862.47207847,194
194,2024-08-04,4013556.25184825,2955329.89590355,195
141,2024-08-06,3994037.02188527,2955670.11636121,197
152,2024-08-08,3997737.27286125,2943775.53529606,199
155,2024-08-08,4035814.86483746,2961673.799412,199
146,2024-08-09,4017763.0539334,2972317.7903458,200
164,2024-08-09,4022220.99247614,2965841.13215074,200
157,2024-08-11,4015168.4625513,2970761.46622209,202
203,2024-08-12,4029868.30936157,2960711.67411631,203
223,2024-08-14,4008913.70432223,2967598.10025304,205
173,2024-08-15,3993819.43277717,2949217.76329942,206
182,2024-08-15,4012841.18792844,2971486.55452416,206
207,2024-08-16,3995327.15180656,2953715.70833135,207
181,2024-08-17,4008478.02105201,2971940.81709226,208
189,2024-08-18,4024082.62429154,2964471.78986249,209
218,2024-08-18,4007914.16758502,2950725.08728501,209
249,2024-08-18,4010888.29390411,2970023.25417689,209
186,2024-08-19,4007575.76455676,2969702.81286797,210
191,2024-08-19,4012697.63736221,2952284.50348644,210
193,2024-08-20,3991522.22203467,2940342.66004712,211
236,2024-08-20,4034611.2852038,2962397.46296232,211
244,2024-08-21,4015637.57249933,2973297.78024713,212
248,2024-08-21,4011314.29140952,2964428.79967736,212
197,2024-08-22,4017584.59503053,2976204.94457834,213
196,2024-08-24,4007658.89561173,2962696.85166453,215
254,2024-08-24,3990523.02418419,2952230.49526806,215
227,2024-08-26,3994149.91561417,2957072.59403397,217
288,2024-08-26,3987536.59939136,2951594.28375437,217
295,2024-08-27,4035533.59127287,2959274.61653003,218
205,2024-08-28,3991438.36216261,2947311.59993781,219
