ID,collection_date,longitude,latitude
1,2024-01-27,4008410.89878671,2955560.8661246
2,2024-01-22,4006393.46577551,2954508.89966757
3,2024-02-19,4005297.11129987,2955431.86571236
4,2024-02-18,4004979.43277889,2957093.80129016
5,2024-02-19,4005029.97774359,2955183.87322808
6,2024-02-21,4003656.15628388,2952440.06144217
7,2024-02-21,4004973.34769511,2952968.52369996
8,2024-03-17,4009583.26863354,2957322.89636613
9,2024-03-15,4003544.21525933,2953022.8161915
10,2024-03-25,4005609.65914281,2953740.08797821
11,2024-03-18,4004612.4953892,2953755.35087347
12,2024-04-03,4005638.95210115,2957446.8037265
13,2024-04-06,4000106.93196522,2955999.47473408
14,2024-04-07,4005472.30771648,2957948.50755084
15,2024-04-03,4013697.52174767,2956779.5699015
16,2024-04-11,4007672.05416063,2955915.53057955
17,2024-04-13,4007173.00186156,2958332.60959431
18,2024-04-23,4004725.36997874,2956220.03317101
19,2024-04-29,4013916.6628434,2961392.24000444
20,2024-04-15,4010194.79696617,2955871.84795303
21,2024-05-02,4005524.20969659,2953575.33499045
22,2024-05-02,4006341.49048865,2960112.38675613
23,2024-05-02,4007547.86209732,2956302.18305185
24,2024-05-05,4006769.04535485,2957076.02258768
25,2024-05-08,4010954.82526247,2958341.35914005
26,2024-05-15,4014554.9728069,2959974.75383435
27,2024-05-12,4007189.33838066,2958228.5601425
28,2024-05-24,3994749.70066712,2954624.93154512
29,2024-05-21,4001583.09955439,2953597.7777627
30,2024-05-13,4007585.44267222,2954279.15181139
31,2024-05-26,4005305.81330223,2957456.44017938
32,2024-05-23,4010419.5538991,2966752.6768507
33,2024-05-31,4003145.17883275,2953946.72230603
34,2024-05-31,4011015.93827105,2957970.16944449
35,2024-06-05,4003896.07261426,2954117.3683194
36,2024-06-01,4005853.4879935,2952552.18900078
37,2024-05-31,4009491.69183165,2955963.81467735
38,2024-05-27,4004735.09214281,2959229.89129541
39,2024-06-03,4003543.71049419,2953586.59016448
40,2024-06-04,4004530.71732912,2952705.93262147
41,2024-06-06,4013021.97645037,2958819.04576149
42,2024-06-08,4003206.81294489,2955886.0264864
43,2024-06-10,4013298.36231266,2958213.06228605
44,2024-06-11,4010828.47814987,2958817.98175521
45,2024-06-12,3997718.94386812,2957938.78325373
46,2024-06-15,4003057.33861946,2949316.16717866
47,2024-06-21,4000475.71397336,2953065.50692528
48,2024-06-19,4004438.50482046,2954717.74790465
49,2024-06-18,4016248.04487804,2960519.00551818
50,2024-06-13,4027706.7034585,2962241.38553734
51,2024-06-20,4016714.18029615,2958496.65762438
52,2024-06-24,4012301.91255108,2958276.43299656
53,2024-06-09,4006901.81479838,2955549.18128256
54,2024-06-19,4013977.51122344,2960534.71013947
55,2024-06-08,4004365.85784969,2954833.534308
56,2024-06-19,4005298.46434955,2953310.1982398
57,2024-06-29,3999311.15787554,2957873.50392813
58,2024-06-20,3995285.14371948,2955495.95851862
59,2024-06-15,4006857.18738011,2955819.99600257
60,2024-06-09,4004769.31923536,2953383.55997652
61,2024-06-25,4023168.5997295,2962560.89507671
62,2024-06-29,4003062.83177443,2954825.47029139
63,2024-06-29,4016283.88146538,2960544.34304958
64,2024-06-19,4003702.58683237,2947332.28419808
65,2024-06-20,4003686.69259314,2953785.30264223
66,2024-06-29,4016598.41797528,2959740.00614901
67,2024-07-01,4010933.98904038,2958712.96821094
68,2024-06-12,4008436.519671,2953342.71930037
69,2024-07-01,4003195.99220402,2960656.29958777
70,2024-07-01,4001961.10478368,2957988.66627915
71,2024-07-03,3990416.77776053,2957309.83963322
72,2024-07-02,4003099.08126481,2953862.16760976
73,2024-06-21,4008341.39751495,2957099.6511217
74,2024-07-05,4007580.41702063,2955650.15563713
75,2024-07-10,4004643.35615017,2959582.02325672
76,2024-06-22,4013495.55415229,2959759.35978237
77,2024-06-24,4013217.50543566,2961216.97134003
78,2024-07-13,4003292.36484456,2955408.45811035
79,2024-07-11,4012518.76874155,2959613.57336447
80,2024-07-09,4011132.87687483,2958023.44243597
81,2024-06-21,4003668.6408153,2955999.11352531
82,2024-07-12,4032701.80247653,2960865.67880838
83,2024-07-13,4004113.00466814,2958961.4033224
84,2024-07-11,4005863.82697574,2954565.81714159
85,2024-06-28,4005082.36988167,2954953.49382982
86,2024-07-14,4011410.49253721,2959455.50572138
87,2024-07-13,4014569.78919878,2958306.97860208
88,2024-06-28,4001877.82240411,2957859.59300317
89,2024-07-18,4005426.8609532,2956899.11343291
90,2024-07-12,4002312.23011863,2954219.79322894
91,2024-07-16,4013986.47714445,2960046.41692397
92,2024-07-15,4000907.77078711,2954807.22333119
93,2024-07-06,3997464.18194088,2951797.11828875
94,2024-07-14,4023996.22940329,2962695.37653125
95,2024-07-14,4005127.96164783,2956337.7363249
96,2024-07-10,4009727.85918882,2951089.4381431
97,2024-06-30,4001044.40310135,2956035.76445534
98,2024-07-10,4010148.57299293,2956526.01921919
99,2024-07-16,4016396.96577721,2958087.37405376
100,2024-07-20,4009440.7316356,2965626.17865209
101,2024-07-19,4010559.34802681,2959294.2391706
102,2024-07-21,3995321.56450531,2944067.93684093
103,2024-07-07,4011176.79753323,2957322.15081475
104,2024-07-12,4003983.35667122,2953217.19986168
105,2024-07-06,4005670.3102624,2955559.1279654
106,2024-07-24,3997771.09618653,2952634.8455527
107,2024-07-25,3989018.4174651,2957212.60746241
108,2024-07-06,4025667.74367483,2962870.7723738
109,2024-07-27,4009747.29483485,2958824.77867351
110,2024-07-19,4008800.34573571,2958158.90327469
111,2024-07-23,4010263.97625715,2958658.45104838
112,2024-07-11,4026612.7579211,2962146.93678917
113,2024-07-30,4006312.40477663,2954581.07188794
114,2024-07-25,4002867.11344727,2952418.5570793
115,2024-07-26,4009632.29788126,2959271.49271559
116,2024-07-26,4011272.89259345,2960441.86039363
